metric,variant,param,coef,std_err,pvalue
avg_sentence_length,ols,const,23.104605499018156,0.6216515740707141,2.5878065140614468e-30
avg_sentence_length,ols,time,-0.07192839650931421,0.021024074443391723,0.0015670501012747262
avg_sentence_length,ols,post_0,1.1576332789342942,0.47367269445526605,0.019557600962431233
avg_sentence_length,ols,time_post_0,-0.0037051026761402706,0.03748041314623425,0.9218023041682901
avg_sentence_length,ols,post_1,0.5691257838091099,0.5226646604207394,0.28343708789439814
avg_sentence_length,ols,time_post_1,0.09545374337653184,0.04485198291523956,0.040236219669717806
avg_sentence_length,ols,mo_2,-0.4695805237538053,0.4879735191399203,0.34231480858655666
avg_sentence_length,ols,mo_3,-0.7526044852168372,0.5223146153437739,0.1582540736886654
avg_sentence_length,ols,mo_4,-0.15431145773879962,0.5238276834341119,0.7700034721623548
avg_sentence_length,ols,mo_5,-0.3771794971886713,0.5259862301025608,0.47794566632682783
avg_sentence_length,ols,mo_6,-0.018125355226953133,0.5287823506683853,0.9728451948681628
avg_sentence_length,ols,mo_7,-0.42187690382328724,0.5311347810310231,0.43222970050980547
avg_sentence_length,ols,mo_8,-0.5195971936546293,0.5301704383946763,0.3335987592994146
avg_sentence_length,ols,mo_9,-0.6851494333320458,0.48195040808824274,0.16374303291471975
avg_sentence_length,ols,mo_10,-0.38482251001678236,0.5301387743474031,0.4725991969195082
avg_sentence_length,ols,mo_11,-0.9576735904578311,0.5256307674234558,0.07677901271858027
avg_sentence_length,ols,mo_12,-0.47219312389364276,0.48644565325029243,0.33817445874491814
avg_sentence_length,hc1,const,23.104605499018156,1.867398589302951,3.6764953703771067e-35
avg_sentence_length,hc1,time,-0.07192839650931421,0.05391947837731469,0.18220499706692916
avg_sentence_length,hc1,post_0,1.1576332789342942,0.48383332092910497,0.016728179969180898
avg_sentence_length,hc1,time_post_0,-0.0037051026761402706,0.059852176900751314,0.9506391022175396
avg_sentence_length,hc1,post_1,0.5691257838091099,0.43456994164077484,0.19032107258547337
avg_sentence_length,hc1,time_post_1,0.09545374337653184,0.03820662854399338,0.012477097280791887
avg_sentence_length,hc1,mo_2,-0.4695805237538053,0.564719873206891,0.4056752802345499
avg_sentence_length,hc1,mo_3,-0.7526044852168372,0.5927950848020918,0.20423205191416915
avg_sentence_length,hc1,mo_4,-0.15431145773879962,0.5770967928675962,0.789166835275178
avg_sentence_length,hc1,mo_5,-0.3771794971886713,0.570033093926717,0.5081763253984926
avg_sentence_length,hc1,mo_6,-0.018125355226953133,0.6239404060554267,0.9768248583370794
avg_sentence_length,hc1,mo_7,-0.42187690382328724,0.5568388025860077,0.44867345974608097
avg_sentence_length,hc1,mo_8,-0.5195971936546293,0.5490603727650718,0.34397575434056216
avg_sentence_length,hc1,mo_9,-0.6851494333320458,0.7760732470350018,0.37732207907344095
avg_sentence_length,hc1,mo_10,-0.38482251001678236,0.6083676469081404,0.5270280251028414
avg_sentence_length,hc1,mo_11,-0.9576735904578311,0.6239650576003648,0.12482822949827234
avg_sentence_length,hc1,mo_12,-0.47219312389364276,0.7059803358204192,0.5035928159665817
avg_sentence_length,hac,const,23.104605499018156,0.8522988854793034,7.802592803503467e-162
avg_sentence_length,hac,time,-0.07192839650931421,0.02639954595941174,0.006437800140632786
avg_sentence_length,hac,post_0,1.1576332789342942,0.41503222145029595,0.005282843670169973
avg_sentence_length,hac,time_post_0,-0.0037051026761402706,0.0382769616866974,0.9228874483928062
avg_sentence_length,hac,post_1,0.5691257838091099,0.36106769452594234,0.11497277412647444
avg_sentence_length,hac,time_post_1,0.09545374337653184,0.03164045243094797,0.002554362870337051
avg_sentence_length,hac,mo_2,-0.4695805237538053,0.4905889494745243,0.33847785722997414
avg_sentence_length,hac,mo_3,-0.7526044852168372,0.5139676161227629,0.14311109122490423
avg_sentence_length,hac,mo_4,-0.15431145773879962,0.4897791652723389,0.7527135654711148
avg_sentence_length,hac,mo_5,-0.3771794971886713,0.46830225888547683,0.42057798027600446
avg_sentence_length,hac,mo_6,-0.018125355226953133,0.5110501101438542,0.9717074520992055
avg_sentence_length,hac,mo_7,-0.42187690382328724,0.455399148368614,0.35424369639963704
avg_sentence_length,hac,mo_8,-0.5195971936546293,0.45050725951555454,0.2487625241372754
avg_sentence_length,hac,mo_9,-0.6851494333320458,0.7072167030426503,0.3326464744884847
avg_sentence_length,hac,mo_10,-0.38482251001678236,0.4770938186265205,0.4198986215405841
avg_sentence_length,hac,mo_11,-0.9576735904578311,0.4868216482216743,0.04916062104309713
avg_sentence_length,hac,mo_12,-0.47219312389364276,0.583484048091246,0.4183628266831243
avg_sentence_length,wls_sqrt_n,const,21.532170352616923,1.6970299254568684,6.8791468344378e-37
avg_sentence_length,wls_sqrt_n,time,-0.043606931679092964,0.056217708492849516,0.4379381663972767
avg_sentence_length,wls_sqrt_n,post_0,0.8479034597506547,0.4568482776310627,0.06345572446193572
avg_sentence_length,wls_sqrt_n,time_post_0,-0.007732321919476648,0.06114041621359229,0.8993612738783598
avg_sentence_length,wls_sqrt_n,post_1,0.2454277853383857,0.2856471898878936,0.3902307245095602
avg_sentence_length,wls_sqrt_n,time_post_1,0.0723579305439499,0.02595823579552171,0.00531205703597643
avg_sentence_length,wls_sqrt_n,mo_2,0.02237082624452924,0.284918617128116,0.9374171675507081
avg_sentence_length,wls_sqrt_n,mo_3,-0.11458790602720936,0.33191224489321447,0.7299172956699201
avg_sentence_length,wls_sqrt_n,mo_4,0.4565923430715806,0.3144992445998368,0.14655515472136924
avg_sentence_length,wls_sqrt_n,mo_5,0.1885268838021934,0.32648350408785487,0.5636376068456008
avg_sentence_length,wls_sqrt_n,mo_6,0.5654103318674721,0.37738626755931226,0.13407425790804542
avg_sentence_length,wls_sqrt_n,mo_7,0.17777895043977776,0.3515829576121137,0.613100321670665
avg_sentence_length,wls_sqrt_n,mo_8,0.09304479518653608,0.3394604324232274,0.7840107379114416
avg_sentence_length,wls_sqrt_n,mo_9,0.2456801818028449,0.3114062020869683,0.4301482528553614
avg_sentence_length,wls_sqrt_n,mo_10,0.19999846737335858,0.42270407257188775,0.6361128577981936
avg_sentence_length,wls_sqrt_n,mo_11,-0.4418335808101841,0.47105301950483536,0.34825984923294606
avg_sentence_length,wls_sqrt_n,mo_12,0.2681111382040733,0.5745922062678424,0.6407780981706078
avg_sentence_length,sarimax,const,21.66644699655503,1.9335801069317953,3.838221034178147e-29
avg_sentence_length,sarimax,time,-0.04520737436822106,0.0631174523682086,0.4738418937022726
