metric,model,n_obs,rsquared,coef_post_0,p_post_0,coef_time_post_0,p_time_post_0,coef_post_1,p_post_1,coef_time_post_1,p_time_post_1,primary_coef,primary_abs_t
equation_count,ols,53,0.34391778607642487,-16.4876044518162,0.043060334961564806,-1.0438196995788527,0.10201376250861287,0.8938720841888093,0.9185009582095183,-0.15659228992633434,0.8345763652663496,post_0,2.097221038803975
equation_count,hc1,53,0.34391778607642487,-16.4876044518162,0.01597920741314581,-1.0438196995788527,0.047916582579144544,0.8938720841888093,0.9168079377767228,-0.15659228992633434,0.8577993922006673,post_0,2.4093901098228763
equation_count,hac,53,0.34391778607642487,-16.4876044518162,0.001694618530851681,-1.0438196995788527,0.00023073525788384167,0.8938720841888093,0.8592522855576965,-0.15659228992633434,0.7864147090425027,post_0,3.1391099455527196
equation_count,wls_sqrt_n,53,0.3213731345929737,-12.680382751393966,0.013469631406347379,-1.1107460438372123,0.0317649508737808,4.997730544694045,0.3336389565323118,0.09885961911610441,0.8471359817394734,post_0,2.471104865159032
equation_count,sarimax,53,,-15.868638135296463,0.05323463599705385,-1.0563109032259703,0.34419037017978193,0.8402105184415166,0.8201426596475949,0.06034041983494832,0.7905723497571643,post_0,1.9330126782734112
equation_count,hc1_median_monthly,53,0.2448211439142347,-14.259145936645247,0.08892258507430896,-0.3056512036112711,0.5565311582021969,-1.1301618722269788,0.8769483400856184,-0.06199009473103079,0.9246302843406902,post_0,1.701108659887225
num_figures,ols,53,0.43983094795819533,7.044155415625113,0.19067146273128738,0.7991523000918296,0.06382952028183844,3.3381484983147933,0.570345044390905,-0.05278725240910548,0.916524431081809,post_0,1.3337245627299652
num_figures,hc1,53,0.43983094795819533,7.044155415625113,0.1798128361694601,0.7991523000918296,0.21824292503103404,3.3381484983147933,0.4556641884378222,-0.05278725240910548,0.8878327331953213,post_0,1.3413315330435331
num_figures,hac,53,0.43983094795819533,7.044155415625113,0.04703159393840257,0.7991523000918296,0.014863871718607315,3.3381484983147933,0.2083029673452862,-0.05278725240910548,0.8489139672007338,post_0,1.986015580357789
num_figures,wls_sqrt_n,53,0.3312964001412806,5.520862847193158,0.2596225509558593,0.7455345566768778,0.2534786378275171,4.5590827597408,0.16278172405157842,-0.36880964523055104,0.2097768232449555,post_0,1.127283701948036
num_figures,sarimax,53,,3.369938199833831,0.3387877292171947,0.8761013221723175,0.16387702896085465,3.5243888944315467,0.293808655420021,-0.2740141064329875,0.17611662626774593,post_0,0.9565632820175385
num_figures,hc1_median_monthly,53,0.44109779560801154,10.2166592467077,0.04807469944007968,0.7808097351577133,0.2632379703736568,1.2011720464376108,0.8056833539485473,0.5836394569531834,0.16990818177480405,post_0,1.976707527562861
num_tables,ols,53,0.5708430096270025,3.4447046877428598,0.06672561094103446,0.40390404152093773,0.008128375810324825,0.4622626625082041,0.8194339469693463,0.047592583613830654,0.7842172873910781,post_0,1.8907635469014925
num_tables,hc1,53,0.5708430096270025,3.4447046877428598,0.07438937217739153,0.40390404152093773,0.10183713323674684,0.4622626625082041,0.7543426965963721,0.047592583613830654,0.7177128710224168,post_0,1.7842110823552817
num_tables,hac,53,0.5708430096270025,3.4447046877428598,0.0036610810415967933,0.40390404152093773,0.0003009977599510061,0.4622626625082041,0.6497402311378835,0.047592583613830654,0.6424292428543938,post_0,2.9059772176218828
num_tables,wls_sqrt_n,53,0.45373864915517326,2.6183097463227307,0.14231591791807385,0.34236004518453694,0.1367293384553057,0.6451806187018351,0.5471741389310542,0.042215575790497485,0.6615360151478341,post_0,1.4672211034008518
num_tables,sarimax,53,,3.886831750590168,0.11383455397861095,0.39030068350681774,0.34993515463103775,0.23390070213441752,0.8770476671965137,0.08972169153570905,0.5059776683782642,post_0,1.5811902063766259
num_tables,hc1_median_monthly,53,0.5901420874263645,3.5513146601985413,0.1174983301854225,0.4932164602416954,0.06469343102811409,-0.9149982477782835,0.5868866960456276,0.10524552099668882,0.5125696572482206,post_0,1.565360818003169
refs_per_1000_words,ols,53,0.43540906301902205,-0.12433589082256905,0.5521893843163802,-0.020123613067356775,0.22760557237887422,0.12232607933915271,0.595890585082117,-0.015790084487158306,0.4261863258306424,post_0,0.6001140555576372
refs_per_1000_words,hc1,53,0.43540906301902205,-0.12433589082256905,0.4900357875969159,-0.020123613067356775,0.29638937353672,0.12232607933915271,0.5852426863119327,-0.015790084487158306,0.3960207065645768,post_0,0.6902519045336146
refs_per_1000_words,hac,53,0.43540906301902205,-0.12433589082256905,0.370188119452613,-0.020123613067356775,0.149036047585311,0.12232607933915271,0.5423943782954959,-0.015790084487158306,0.33542082227731396,post_0,0.8961210429499211
refs_per_1000_words,wls_sqrt_n,53,0.36421711712953075,-0.21210659821515812,0.14743498762562623,-0.024227916531336633,0.20235400120375135,0.06110782394691614,0.7718824624200882,-0.0016780232703600363,0.920779478172526,post_0,1.4486512981484634
refs_per_1000_words,sarimax,53,,0.28032863287691717,0.5198543419905,0.08861803967037672,0.043815370033970714,0.03292039519077722,0.9178738844672285,-0.00829909018243243,0.7731404422213558,post_0,0.6435699494017681
refs_per_1000_words,hc1_median_monthly,53,0.3149965965680337,-0.17475969372404687,0.3947298905614808,0.005836338322900175,0.7923888739617795,-0.14527082423341484,0.5185944402588112,-0.03293052212768384,0.09327874496282583,post_0,0.851071041623602
figures_per_100_pages,ols,53,0.5955146153743875,12.09639479058022,0.009056689587359834,0.6242748847939517,0.08033105458316732,6.948353415805491,0.15956338916479904,0.12607280041645624,0.7631218499715613,post_0,2.7589922188680926
figures_per_100_pages,hc1,53,0.5955146153743875,12.09639479058022,0.010108634601875771,0.6242748847939517,0.24892308751020864,6.948353415805491,0.08449924350441959,0.12607280041645624,0.7053325792990929,post_0,2.5720909021824085
figures_per_100_pages,hac,53,0.5955146153743875,12.09639479058022,0.002350001520723653,0.6242748847939517,0.07702009255108765,6.948353415805491,0.06438642288608701,0.12607280041645624,0.697525794643769,post_0,3.042015040259694
figures_per_100_pages,wls_sqrt_n,53,0.4444551268663046,8.199707129251998,0.06171827430340929,0.6335566109331956,0.26092391441464724,4.590814288015265,0.10798375994470802,-0.18194388764252714,0.45241542902119125,post_0,1.8683143018023796
figures_per_100_pages,sarimax,53,,4.894168897728143,0.1821023300766742,0.5744887041577641,0.6447094219877099,9.203587601981402,0.03674459469925216,-0.15147687903391163,0.5771351013445603,post_0,1.334309852205847
figures_per_100_pages,hc1_median_monthly,53,0.5722832665983435,12.888357105094391,0.008153351701932843,0.6250639569440647,0.2799452363246747,1.9939219223421019,0.6318089443177681,0.5337376647768365,0.13488387412420388,post_0,2.6456525397983577
equations_per_1000_words,ols,53,0.26282008532429135,-1.4552717992185038,0.2757276524705869,0.09260408974015705,0.37933872781383277,-2.109062901977481,0.154702223182679,-0.17802094796549367,0.16138503421956643,post_0,1.106785611952776
equations_per_1000_words,hc1,53,0.26282008532429135,-1.4552717992185038,0.0857788948846484,0.09260408974015705,0.4741690608426171,-2.109062901977481,0.26862704477032096,-0.17802094796549367,0.2969789341550605,post_0,1.7180971593904724
equations_per_1000_words,hac,53,0.26282008532429135,-1.4552717992185038,0.007266797786827976,0.09260408974015705,0.26496425978264526,-2.109062901977481,0.08287328492339222,-0.17802094796549367,0.1090521505903714,post_0,2.684363832746307
equations_per_1000_words,wls_sqrt_n,53,0.3703253224704186,-2.126051884900371,0.13050051585475822,0.1402373623531214,0.39930284983682873,-3.0966507341133056,0.2137401198280351,-0.2119139800635109,0.24514447261739325,post_0,1.5121310948178597
equations_per_1000_words,sarimax,53,,-1.4711073365243499,0.688510816850692,0.0883682064146305,0.8904185742136741,-2.178738815741798,0.1296966452083275,-0.15172874876313028,0.029114491840533756,post_0,0.4008768200023135
equations_per_1000_words,hc1_median_monthly,53,0.30508766741095306,-0.4887551596802614,0.1432920971203191,-0.007346892367173105,0.7446265138029649,-0.23633431601780566,0.4973624431288991,0.0025239020697599875,0.9389727554768678,post_0,1.4636408784502297
